"","reads.in","reads.out"
"tui_10_S113_trimmed_R1.fastq",15959,10198
"tui_11_S116_trimmed_R1.fastq",13407,9212
"tui_12_S140_trimmed_R1.fastq",35017,29030
"tui_122_S129_trimmed_R1.fastq",14898,10851
"tui_123_S115_trimmed_R1.fastq",24653,19425
"tui_124_S1_trimmed_R1.fastq",22604,17023
"tui_125_S144_trimmed_R1.fastq",36757,27503
"tui_129_S137_trimmed_R1.fastq",20745,15550
"tui_13_S108_trimmed_R1.fastq",7165,4414
"tui_130_S134_trimmed_R1.fastq",33480,26355
"tui_132_S114_trimmed_R1.fastq",38584,28487
"tui_133_S146_trimmed_R1.fastq",29789,22418
"tui_135_S2_trimmed_R1.fastq",43292,34521
"tui_136_S109_trimmed_R1.fastq",19899,15942
"tui_137_S107_trimmed_R1.fastq",9300,6461
"tui_138_S105_trimmed_R1.fastq",3838,1868
"tui_139_S104_trimmed_R1.fastq",6456,3863
"tui_15_S135_trimmed_R1.fastq",15757,10859
"tui_152_S55_trimmed_R1.fastq",19394,15193
"tui_153_S54_trimmed_R1.fastq",17731,13578
"tui_155_S33_trimmed_R1.fastq",7535,5919
"tui_16_S106_trimmed_R1.fastq",6532,3357
"tui_17_S143_trimmed_R1.fastq",13410,8743
"tui_18_S119_trimmed_R1.fastq",19939,14357
"tui_19_S5_trimmed_R1.fastq",5065,3244
"tui_198_S93_trimmed_R1.fastq",1828,1053
"tui_2_S122_trimmed_R1.fastq",5532,2693
"tui_20_S121_trimmed_R1.fastq",8036,4346
"tui_202_S96_trimmed_R1.fastq",14339,11087
"tui_204_S60_trimmed_R1.fastq",14418,12014
"tui_21_S7_trimmed_R1.fastq",18044,12723
"tui_247_S21_trimmed_R1.fastq",39917,34251
"tui_248_S53_trimmed_R1.fastq",22857,19290
"tui_261_S9_trimmed_R1.fastq",10118,8797
"tui_262_S92_trimmed_R1.fastq",1687,880
"tui_293_S35_trimmed_R1.fastq",2930,2212
"tui_294_S46_trimmed_R1.fastq",6638,5519
"tui_295_S45_trimmed_R1.fastq",7161,5898
"tui_296_S94_trimmed_R1.fastq",867,337
"tui_297_S48_trimmed_R1.fastq",8603,7185
"tui_3_S131_trimmed_R1.fastq",19904,14052
"tui_31_S130_trimmed_R1.fastq",14301,10144
"tui_32_S4_trimmed_R1.fastq",43938,38886
"tui_326_S52_trimmed_R1.fastq",7872,6208
"tui_327_S61_trimmed_R1.fastq",4855,3609
"tui_329_S69_trimmed_R1.fastq",3018,2289
"tui_330_S89_trimmed_R1.fastq",3995,2731
"tui_36_S10_trimmed_R1.fastq",19890,15676
"tui_362_S77_trimmed_R1.fastq",5570,3858
