"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",NA
"ASV2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","sobria"
"ASV3","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","salmonicida"
"ASV4","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","ZOR0006",NA
"ASV5","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae",NA,NA
"ASV6","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Plesiomonas","shigelloides"
"ASV7","Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA
"ASV8","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus",NA
"ASV9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV10","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","lactis"
"ASV11","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus",NA
"ASV12","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas",NA
"ASV13","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"ASV14","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV15","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV16","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"ASV17","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","gasigenes"
"ASV18","Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA
"ASV19","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecium"
"ASV20","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia-Obesumbacterium","alvei"
"ASV21","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae",NA,NA
"ASV22","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","ZOR0006",NA
"ASV23","Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA
"ASV24","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","cholerae"
"ASV25","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae",NA,NA
"ASV26","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV27","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV28","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV29","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas",NA
"ASV30","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV31","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","mesenteroides"
"ASV33","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinibacteraceae","Deefgea",NA
"ASV34","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV35","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",NA
"ASV36","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium","acetylicum"
"ASV38","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307","gracile"
"ASV39","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV40","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae",NA,NA
"ASV42","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinibacteraceae","Chitinibacter",NA
"ASV43","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA
"ASV44","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","planticola"
"ASV45","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","fonticola"
